SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,FirstDuty-第一责任人,Fund-基金,Year-年,Volume-卷,Period-期,PageCount-页码,CLC-中图分类号,ISSN-国际标准刊号,URL-网址,DOI-DOI
期刊,高职智能制造类专业程序设计课程改革初探,周国栋;,湖南网络工程职业学院网络技术系;,计算机时代,程序设计;;课程改革;;智能制造;;高职教育,"分析了目前高职智能制造类专业在程序设计类课程教学中面临的问题,介绍了国内外工科专业程序设计能力培养的现状。结合我国智能制造行业的现状,提出了程序设计课程的改革方案。为面向智能制造类专业的高职工科人才培养方案的制定和改进,起到理论指导和实践参考作用。",2019-08-14,周国栋;,湖南省教育科学规划课题(XJK18BXX006);; 湖南广播电视大学资助课题(XDK2016-C-14),2019,,08,62-64,TP311.1-4;G712,1006-8228,,10.16644/j.cnki.cn33-1094/tp.2019.08.017
期刊,焦聚能力培养的程序设计基础课程教学改革,蔡美玲;张锦;张丽霞;,湖南师范大学信息科学与工程学院;,计算机教育,程序设计;;能力培养;;教学改革;;工程教育认证,"分析工程教育认证对计算机类专业人才能力培养的要求,阐述程序设计基础(C语言)专业基础课程教学的特点,提出以能力培养为目标的课程教学改革思路和目标,说明如何将课程教学质量的提高转化为学习能力、实践能力、创新能力、工程能力4种能力的培养,并有针对性地介绍相关举措。",2019-08-10,蔡美玲;,"湖南省普通高等学校教学改革研究项目;; 教育部产学合作协同育人项目(201702001043);; 湖南省自然科学基金项目(2018JJ3351);; 湖南省学位与研究生教育教学改革研究项目(JG2015B041);; 湖南省教育厅资助科研项目(15B137,15K082);; 湖南师范大学教学改革项目([2018]51号文,53,55)",2019,,08,59-63+93,TP311.1-4;G642,1672-5913,,10.16512/j.cnki.jsjjy.2019.08.015
期刊,浅谈C++程序设计课程教学改革,江归安;,新余学院;,电脑知识与技术,教学改革;;互帮互带;;程序设计,"C++程序设计这门课程对学生来说具有重要的意义,它可以锻炼学生的逻辑思维能力,分析问题解决问题的能力,是学习计算机知识中关键的一环。在教学过程中发现学生对这门课程有两极分化的现象,一类非常感兴趣,上手快,喜欢编程,一类觉得课程非常难,无法赶上教学进度,对编程感到困惑。针对这种情况,提出一种""互帮互带三人组""的教学模式,增强学生的学习主动性和主观能动性,突出程序设计能力培养,强调算法而不是语法。经过教学实践证明,该方法大幅提高了学生的学习兴趣和动力,成绩明显得到了提升,达到了事半功倍的效果。",2019-08-05,江归安;,,2019,15,22,128-129,TP312.1-4;G642,1009-3044,,10.14004/j.cnki.ckt.2019.2720
期刊,信息技术课中“编程猫”的教学体会,程琳;,安徽省合肥市肥东县店埠学区中心学校;,科普童话,信息技术课;教学体会;编程教育;想象力;推理能力;,"小学阶段开展编程教育,是通过教学活动,向学生渗透程序设计思想,为培养创新人才打好基础,提升学生的学习乐趣和信心。像""编程猫""""Scratch""等图形化编程语言具备易入手、交互性强等特点,比较适宜作为现阶段中小学编程教育的入门软件。奥巴马,比尔盖茨们纷纷呼吁代码才是未来世界的通用语。笔者经过多次编程教学实践探索,觉得""编程猫""的课程做得有趣,只有引起孩子主动探索的兴趣,为孩子创造出一个属于他们的世界,然后才",2019-07-31,程琳;,,2019,,32,78,G623.58,1673-9442,,
期刊,基于专业应用的《C语言程序设计》课程教学改革探索,吴和静;,黑龙江东方学院计算机科学与电气工程学部;,数码世界,C语言;;教学改革;;专业应用,"实际教学中,针对C语言课程特点,教师发现学生结课后编程能力弱,无法将所学知识应用于工作领域。结合本专业学生实际情况,对教学内容与教材做了改革。经实践证明,教学改革极大提高了学生的学习热情,且可以将所学知识应用到专业相关领域,改革取得了良好的成果。",2019-07-20,吴和静;,“黑龙江东方学院核心课程资源建设”(校级课题)“C语言程序设计”成果之一,2019,,07,209,G642;TP312.1-4,1671-8313,,
期刊,基于儿童生活经验的编程能力提升策略,许雪松;,江苏省苏州工业园区星湾学校信息中心;,基础教育参考,STEM教育;;生活经验;;编程教学;;人工智能,"在人工智能背景下,编程在STEM教育中占据了非常重要的地位。在小学STEM教育的探索与实践中,从学生已有的生活经验出发,通过再现、演绎、迁移、具象等方法,可以降低编程入门的难度,帮助学生培养编程思维,发展编程能力,进而能够综合解决生活中的实际问题。",2019-07-15,许雪松;,,2019,,14,38-40,G623.58,1672-1128,,
期刊,以计算思维为导向的C语言教学方法的探索和实践,王磊;叶军;韩宇贞;,南昌工程学院信息工程学院;,计算机教育,计算思维;;计算机基础课程;;教学改革;;C语言教学,"分析计算思维在C语言程序设计各章中的分布,阐述从激发学生的学习兴趣、构建满足不同层次需求的学习平台、夯实学生编程的语法基础、提升学生的综合编程能力4个方面设计以计算思维为导向的C语言程序设计的教学模式,说明C语言程序设计教学中以培养计算思维能力为导向的探索和实践是有效的。",2019-07-10,王磊;,江西省教育厅科研项目“计算机程序设计基础C语言资源共享课”(赣教高字[2015]49号),2019,,07,168-172,G642;TP312.1-4,1672-5913,,10.16512/j.cnki.jsjjy.2019.07.039
期刊,基于微信公众平台的翻转课堂在成人高等教育中的应用研究——以《VB程序设计》课程为例,蒋秀江;,山东广播电视大学;,山东广播电视大学学报,翻转课堂;;微信公众平台;;高阶思维能力;;深度学习;;成人高等教育,"近年来成人高等教育的生源整体规模有所下降,教育管理和办学理念比较落后,教学质量不高等问题,为了实现信息技术与教育教学的深度融合,将微信公众平台和翻转课堂的教学理念引入到成人高等教育教学中,设计了基于微信公众平台的成人高等教育翻转课堂教学模式。此教学模式突出了学生的主体地位,以锻炼学生的高阶思维能力和创新能力为目标,以微信公众平台为师生互动交流的平台,满足了成人学生的碎片化学习要求和个性化学习需求。",2019-07-10,蒋秀江;,山东广播电视大学2018年度青年教师科研课题“基于微信公众平台的翻转课堂在成人高等教育中的应用研究——以《VB程序设计》课程为例”(课题编号:2018QN015Y)阶段性成果,2019,,03,58-60+70,G724;TP312.1-4,1008-3340,,
期刊,面向计算创造性思维能力培养的《C语言程序设计》课程教学改革,王会婷;何兰;,重庆科技学院;,软件工程,计算创造性思维;;互联网+;;主题网站;;能力培养模式;;教学改革,"计算创造性思维作为一种新的思维方式和普及的技能,其训练养成是一个长期的逐步形成的过程。其有独特的教学目标和要求,与传统的课程教学模式截然不同,对现有传统的教育观念和方法提出了新的挑战。其教学质量也是显而易见的,效果显著。本文研究面向计算创造性思维能力培养的《C语言程序设计》课程教学改革,将计算思维和创造性思维结合起来,提出新的计算创造性思维。建设了计算创造性思维的任务驱动式、案例驱动式教学模型和基于计算创造性思维的网络在线自主学习模型,培养了学生用计算创造性思维解决相关领域问题的能力,提高了学生的学习兴趣,增强了学生的专业认同感,教学改革效果显著。",2019-07-05,王会婷;,,2019,22,07,57-59,TP312.1-4;G642,2096-1472,,10.19644/j.cnki.issn2096-1472.2019.07.018
期刊,浅谈利用AR-code进行低段学生编程思维的启蒙,邵伟星;,浙江省绍兴市柯桥区实验小学;,中国多媒体与网络教学学报(下旬刊),AR code;;低段学生;;编程思维的启蒙,"当前,世界各国都将发展人工智能作为提升国家竞争力的重大战略,力争抢占技术制高点。在我国,随着党中央国务院关于发展人工智能的各项政策引领,人工智能教育呈现出蓬勃发展之势。在基础教育领域,人工智能教育也开始得到重视,许多教育平台也积极探索在义务教育阶段开展人工智能教育的方式,可以说青少年学习编程已经不是什么新鲜事了,而以编程为基础的人工智能相关课程和教材也不断涌现。",2019-06-21,邵伟星;,,2019,,06,75-76,G623.58,1673-2499,,
期刊,以实践为导向的Java课程教学模式探索,崔仙姬;黄山;刘文鹏;,大连民族大学信息与通信工程学院;大连民族大学计算机科学与工程学院;,电脑知识与技术,Java;;实践能力;;教学改革;;考核方式;;评价方式,"针对目前高校Java课程无法适应IT企业招聘人才的问题,分析Java教学过程中存在的主要问题,提出以实践为导向的高级程序设计课程教学模式,重视课内实践教学,改进实践考核方式,推动学生的学习积极性,提高学生Java编程技能和解决项目问题的能力,达到较好的教学效果。",2019-06-05,崔仙姬;,大连民族大学2018年课堂教学改革项目,2019,15,16,138-139,TP312.2-4;G642,1009-3044,,10.14004/j.cnki.ckt.2019.2110
期刊,以培养计算思维为主的C程序设计课程教学改革,李敏;,河套学院数学与计算机系;,电脑知识与技术,C程序;;教学改革,"随着信息技术的进步,计算机学科与其他学科的交叉发成为新的趋势。在程序设计类课程教学中,培养计算思维的能力与讲授专业知识同等重要。本文阐述了计算思维的重要性,并以C程序设计课程为例,探讨了以培养计算思维能力为主的教学改革方法与思路。",2019-04-25,李敏;,河套学院教学研究项目“基于计算思维的C语言课程教学改革的实践研究”(项目编号:HTXYJY16006),2019,15,12,111-112,TP312.1-4;G642.0,1009-3044,,10.14004/j.cnki.ckt.2019.1365
期刊,新工科背景下的C语言教学改革探索,张亚红;陈辉;,桂林航天工业学院计算机科学与工程学院;桂林电子科技大学计算机与信息安全学院;,教育教学论坛,新工科;;C语言;;教学改革,"为了适应新形势下新工科人才培养的需要,本文通过分析《C语言程序设计》教学中存在的问题,从教学模式、考核方式等方面进行改革探索,旨在提高学生分析问题、综合运用所学解决实际问题的能力。",2019-04-17,张亚红;,2017桂林航天工业学院校级重点课程建设项目《C语言程序设计》;; 校级教改项目(2018JB10),2019,,17,125-126,TP312.1-4;G642.0,1674-9324,,
期刊,基于应用能力培养的程序设计课程SPOC教学研究,李妮;,运城学院数学与信息技术学院;,计算机时代,应用型;;程序设计课程;;教学改革;;SPOC,"根据高校应用型人才培养的目标和要求,从教学内容、教学方法、教学手段和考核方式几方面对程序设计课程进行SPOC教学改革。建立课程教学平台,让学生自由选择课外时间学习,为学生的应用能力培养提供了时间和空间。设计应用型教学案例,采用项目教学法,让学生在实践项目的过程中培养应用能力。改革教学评价方式,加大对学生应用能力的考核,让学生更重视自身应用能力的培养。",2019-04-15,李妮;,山西省教育科学规划课题(GH-16089);; 全国高等院校计算机基础教育研究(2018-AFCEC-379);; 运城学院教改项目(JG201627),2019,,04,83-84+88,G642;TP311.1-4,1006-8228,,10.16644/j.cnki.cn33-1094/tp.2019.04.023
期刊,基于计算思维的计算机程序设计课程教学改革研究——以C语言为例,唐彩红;,齐鲁医药学院;,教育现代化,C语言;;计算思维;;教学改革,"信息化时代下,计算思维是人们必备的一项基本技能。然而,C语言传统的授课模式往往只注重知识的传授量,而忽视了学生计算思维的培养。因此,本文针对目前C语言教学现状,特提出了基于计算思维的教学改革方案,旨在培养当代大学生的计算思维。",2019-04-09,唐彩红;,山东省职业教育教学改革研究项目《高职计算机程序设计课程混合式教学模式研究》(2017298),2019,6,29,100-101,TP312.1-4;G642.0,2095-8420,,10.16541/j.cnki.2095-8420.2019.29.050
期刊,基于图形化工具的编程教学促进初中生计算思维发展的实证研究,傅骞;解博超;郑娅峰;,北京师范大学教育技术学院;对外经济贸易大学网络安全和信息化处;河南财经政法大学计算机与信息工程学院;,电化教育研究,计算思维;;图形化编程;;问题解决能力;;编程教育,"计算思维已经成为中小学信息技术课程中核心素养涵盖的重要组成部分。基于编程工具培养中学生计算思维作为一种重要的教学手段得到了学术界的广泛认可。近几年来,图形化编程工具不断涌现,并大量进入K12教育阶段的课堂中。然而,使用图形化编程工具是否能够更好地提升学生的计算思维还有待通过实证研究进行验证。为此,研究通过对45名初中学生进行为期16个学时的教学实验,探究基于图形化编程工具和文本编程工具两种不同教学工具对计算思维培养的影响及其差异。研究结果表明,较之于传统文本编程环境,采用图形化编程工具的学生计算思维能力提升更为明显,并能够完成更为复杂的创意作品。这一研究发现将为中小学阶段采用图形化工具开展编程教育,培养计算思维能力提供有效的实践指导。",2019-03-28 11:46,傅骞;,国家自然科学基金资助项目“基于教育大数据的在线协作讨论过程自动化分析与实时可视化呈现研究”(项目编号:61841702),2019,40,04,122-128,G633.67,1003-1553,https://kns.cnki.net/kcms/detail/62.1022.g4.20190328.1144.001.html,10.13811/j.cnki.eer.2019.04.016
期刊,面向编程课堂的设计型学习模式研究与实践,徐琪琪;,中国教育技术装备,中国教育技术装备,编程;;数字化学习;;创新能力;;设计型学习;;教学模式,"设计型学习以设计为核心,重在培养学生的创造力和反思批判精神。将设计型学习的基本理念运用在编程课堂上,分析设计型学习的内涵与基本模型,面向编程课堂提出以""问题—设计—反思""为核心、以评价为具体调控手段的设计型学习模式,用具体实例来进行论证,形成一套系统完善的学习模式。",2019-03-25,徐琪琪;,,2019,,06,63-65,G633.67,1671-489X,,
期刊,《Android应用程序开发》课程教学方法改革研究,孙欣欣;王竹婷;张弛;,合肥学院计算机科学与技术系;,电脑知识与技术,Android应用程序开发;;教学方法;;教学改革,"《Android应用程序开发》是一门对动手实践能力要求很强、技术更新迭代非常快速的课程,以培养学生的软件编程能力、新技术框架学习应用能力、使用开发工具解决问题能力、综合项目开发能力为教学目标。在课程实际的理论教学、实验教学、自主学习等方面,仍存在很多问题,导致教学效果与本课程的教学目标之间仍有较大差距。该文从各个方面分析了课程教学中存在的问题,并提出了相应的解决方案。",2019-03-15,孙欣欣;,合肥学院2017年度校级教研项目(2017jyxm020);; 合肥学院2018年度校级重点教研项目(2018hfjyxm08);合肥学院2018年度校级重点教研项目(2018hfjyxm20);合肥学院2018年度大规模在线开放课程(MOOC)示范项目(2018hfmooc03),2019,15,08,69-70,G642.4;TP316-4,1009-3044,,10.14004/j.cnki.ckt.2019.0740
期刊,以学生为中心的《数据结构》课程教学改革实践,周原;梁鹏;,广东技术师范学院计算机科学学院;,高教学刊,数据结构;;教学改革;;任务型驱动,"基于学生在自主学习中的个体化差异,文章提出在《数据结构》教学中建立以学生为中心的教学模式改革实践。文章首先分析了《数据结构》课程教学中存在的诸多问题,通过对问题的全面分析后,提出了结合任务驱动型的教学方法。最后,通过对成绩结果的分析表明,该课程教学改革措施有力地提升了学生的学习能力,并提高了学生的学习成绩。",2019-03-10,周原;,校级教改课题“基于以学生为中心的《数据结构》课程教学改革与实践”(编号:JYYB201515),2019,,05,142-144,TP311.12-4;G642.4,2096-000X,,10.19980/j.cn23-1593/g4.2019.05.046
期刊,基于OBE的轨道交通信号与控制专业“C语言程序设计”教学改革实践,李建国;王小农;,兰州交通大学自动化与电气工程学院;,科教导刊(上旬刊),C语言程序设计;;教学改革;;轨道交通信号与控制,"针对轨道交通信号与控制专业学生C语言课程教学效果欠佳的现状,设计了基于OBE的信号专业C语言课程教学方案。方案设计基于成果导向教育的教学模式,从专业学习角度出发,激发学生学习兴趣,设计教学方案引导学生尽快融入专业知识,教学策略采用灵活教师授课与翻转课堂方式,拓展实践以工程实际课题为背景设计题目,考核方式中加入学生学习评估等,有效的提高C语言课程的教学质量、教学水平和学生的学习成效。",2019-03-05,李建国;,2017年兰州交通大学校级教改重点项目(JGZ201719),2019,,07,125-127,TP312.1-4;G642,1674-6813,,10.16400/j.cnki.kjdks.2019.03.053
期刊,理工类专业的运筹学课程教学改革探索与研究,韦春妙;庞建华;黄李韦;,广西科技大学理学院;,科技视界,运筹学课程;;教学改革;;案例教学,"运筹学是一门实践性和应用性很强的学科,是数学类、管理类以及一些工科专业的必修的主干课程。学习和研究运筹学主要着眼于两个角度:一是对运筹学理论及方法方面的学习研究,一是利用运筹学的方法解决生活工作中的实际问题。该文旨在探究在运筹学课程教学的过程中,如何将理论方法与实际应用两方面有效结合起来,让学生在掌握理论方法的基础上,能运用其思想方法解决实际问题,从而激发学生的学习兴趣,提高学生的学习主动性,使运筹学课程的教学效果事半功倍。",2019-02-25,韦春妙;,"广西科技大学教育教学改革研究项目“基于应用型人才培养的运筹学课程教学改革的研究与探讨”;; 广西研究生教育创新计划项目(JGY2017101)的研究成果,获广西科技大学优秀教学团队支持计划支助",2019,,06,187-188,O22-4;G642,2095-2457,,10.19694/j.cnki.issn2095-2457.2019.06.072
期刊,算法与程序设计教学方法探讨,赵炜;,泰州中学附属初级中学;,中小学电教(下半月),算法与程序设计;;项目学习;;兴趣;;方法,"基础教育阶段的学生编程教育已势在必行,如何提高学生编程教学的实效,进而提高学生的信息素养及思维能力,非常值得我们探索和研究。教师应从学生原有知识基础出发,依据学生的认知特点规律,精心选择和使用教材,强化算法的分析和设计,从而提高编程教学的有效性。",2019-01-20,赵炜;,,2019,,01,47,G633.67,1671-7503,,
期刊,编程能力评估模型研究进展,杨宇霞;,四川大学计算机学院;,现代计算机(专业版),编程能力;;编程行为;;评价模型,"计算机编程能力作为软件开发应用的基石,其教学课程的需求量正迅速增加,学习者们期望通过课程培训,从而提高编程能力。在计算机教育领域中,教育者对学生的编程能力采取的评价方式主要分为两大类:线下笔试和线上测验,区别在于学生的测验环境以及评价标准的选择。概括国内外对编程能力评估方法的理论方法,对现有的编程能力评估方法提出改进意见。通过分析国内外对编程能力以及编程过程的相关研究,从构建编程行为模型,编程能力模型以及评价模型三个方面提出对编程能力评估模型的建立提出新的改进思路。",2019-01-15,杨宇霞;,,2019,,02,33-36+40,TP311.1-4,1007-1423,,
期刊,算法设计与分析课程教学改革,王智峰;张学东;王莉;丁宁;,辽宁科技大学电子与信息工程学院;,中国冶金教育,算法设计与分析;;兴趣激发;;综合训练;;立体考核,"针对算法设计与分析课程教学中存在的问题,从兴趣激发、综合训练、全方位立体式考核3个方面进行改革,着力提高学生编程能力、综合素质,激发学生参与课堂教学与实践的积极性和主动性,旨在培养和提高学生综合能力和科学素养。",2018-12-31,王智峰;,辽宁科技大学2018年校级教改项目“基于项目驱动的算法设计与分析课程改革”(XJGJF201827),2018,,06,30-31+35,G642.0;TP301.6-4,1007-0958,,10.16312/j.cnki.cn11-3775/g4.2018.06.011
期刊,以应用能力为目标的JSP程序设计课程教学改革,周兵;,汉江师范学院数学与计算机科学学院;,汉江师范学院学报,SPOC;;JSP程序设计;;教学改革,"针对计算机教学课时不断压缩,企业对计算机专业知识要求越来越高,动手能力越来越强等问题,提出通过课程定位及考核方式的改革,不断优化教学内容:课前导学、任务导学、在线讨论等自主学习为主进行基础知识学习;课程设计、课堂讨论方式、上机实践等研讨学习为主进行知识扩充学习;项目分析、项目指导、项目答疑等项目实践为主进行实践能力提高学习.通过课程的改革,解决课时不足,知识不断膨胀的问题,培养学生自我学习能力、设计能力和创新能力,同时提高学生动手能力.",2018-12-15,周兵;,汉江师范学院校级教研项目(项目编号:2015029),2018,38,06,129-131,TP311.1-4;G642,2096-3734,,10.19575/j.cnki.cn42-1892/g4.2018.06.028
期刊,基于在线学习测评的高职C语言教学改革与实践,曾慧敏;,湖南高速铁路职业技术学院;,计算机时代,高职;;C语言;;在线;;学习测评;;教学改革,"分析了当前C语言教学中存在的问题及其原因,提出了基于在线学习测评的教学改革思路。从教学内容、教学方法、评价方式三个方面进行探索和改革。学生根据知识图谱在线学习测评,云测试平台获取学习数据,生成量化的能力报告,反馈学习效果。学生和教师及时调整学习策略和教学策略,促进学生编程能力的提升。该教学改革通过实践取得了良好的教学效果,能有效培养学生的实践应用能力。",2018-12-15,曾慧敏;,湖南省教育科学“十三五”规划课题“大数据支撑下的高职软件技术人才能力测评方法的研究与应用”(XJK17CXX004),2018,,12,96-98,TP312.1-4;G712,1006-8228,,10.16644/j.cnki.cn33-1094/tp.2018.12.028
期刊,主动学习在《可视化程序设计》课程中的实践,赵玉丽;张引;张斌;朱志良;,东北大学软件学院软件工程国家级实验教学示范中心;东北大学计算机科学与工程学院;,教育教学论坛,主动学习;;通用Windows平台;;教学改革,"针对《可视化程序设计》课程以传授知识为核心的教学理念导致的学生""过得了考试,写不出软件""的问题,开展基于主动学习、面向能力培养的课程改革,实现课程目标从""会""到""能""、教学手法从被动到主动、评价方法从结果到过程的转变,提升了教学效果。",2018-12-12,赵玉丽;,东北大学2018年度本科教学质量工程项目,2018,,50,160-161,TP311.1-4;G642,1674-9324,,
期刊,编程能力成为美国学生的基本素养,黄宁宁;,上海市崇明区教育学院;,上海教育,编程能力;数字时代;基本素养;编程教学;编程教育;JavaScript;Python;幼儿园;,"美国前总统奥巴马非常重视编程教育,曾呼吁说:""如果我们想让美国保持领先地位,就需要年轻一代的美国人掌握编程工具和技术,它将改变我们所有的做事方式。""虽然知道美国中小学很多学校开设了编程课,但对三所学校的访问还是让我籐惊于美国学校对编程的重视程度。编程能力已经开始逐渐成为美国学生在数字时代的基本素养。Brook Forest小学在Brook Forest小学,幼儿园(美国的小学一般",2018-12-10,黄宁宁;,,2018,,35,44-45,G633.67,1006-2068,,
期刊,中职计算机C语言教学的探讨与研究,郑伟强;,江苏省惠山中等专业学校;,现代职业教育,中职教育;;计算机教学;;C语言;;教学方法,"C语言作为计算机学习的一门重要基础课程,对学生编程能力和项目设计能力培养具有极为重要的作用。但由于C语言课程本身具有较强的抽象性、逻辑性和实践性,且现阶段理论与实践相分离的教学模式使很多学生无法扎实掌握C语言编程技能,更加谈不上运用C语言进行实践运用。因此,在现代化科技快速发展的形势下,为了更好地满足社会发展对C语言人才的需求,有效结合C语言课程自身特点和学生学习特点,对中职计算机C语言教学方法进行探讨,从而推动C语言课程教学改革的发展。",2018-11-28,郑伟强;,,2018,,33,73,TP312.1-4;G712,2096-0603,,
期刊,面向大类工科专业的程序设计课程教学改革,宋友;,北京航空航天大学软件学院;,中国大学教学,大类工科专业;;程序设计课程;;教学改革,"程序设计能力是信息时代工科大学生的一项基本能力,传统的工科专业都会开设程序设计课。在大类招生背景下,如何有效开展大类工科专业的程序设计课程教学变得尤为重要。本文给出了大类工科专业程序设计课程教学中师资建设、教学规范、资源利用等问题的解决与实施办法。",2018-11-15,宋友;,中央高校教育教学改革专项“北航大类专业程序设计课程群建设”;; 腾讯—教育部产学合作新工科建设项目“面向新工科的计算机专业核心课程改革”(201702002005),2018,,11,47-50,TP311.1-4;G642.0,1005-0450,,
期刊,在程序设计课程中融入创新创业教育的改革研究,傅荣会;,内江师范学院计算机科学学院;,福建电脑,计算机专业;;创新;;创业;;课堂教学“五强化”,"文章介绍了从国内外创新创业教育现状、当前我校计算机专业在创新创业出现的主要问题、已有的工作基础及条件,指出创新创业教育急需改革,进而提出了在程序设计课程中教学""五强化""的人才培养模式、提升计算机专业老师和学生的创新创业意识、建设一支高素质的教师队伍。文章期望能将程序设计课程的教学模式推广到整个计算机专业教育,将创新创业的思想融入教育中,促进大学生素质的全面提高。",2018-11-13,傅荣会;,,2018,34,11,159-160,TP311.1-4;G642,1673-2782,,10.16707/j.cnki.fjpc.2018.11.083
期刊,以能力为导向的计算机程序设计课程教学改革,刘琴琴;,南通理工学院计算机与信息工程学院;,电脑迷,计算机程序设计;;教学改革;;能力导向,"进入21世纪以来,全社会对计算机技术的需求在不断增长,各项专业领域也都得到日益广泛的应用。因此,对高校开设的计算机程序设计课程也提高了要求,要满足社会对计算机程序设计的要求,就要对传统教学模式进行改革,全面提升学生的创新和自学能力。本文主要对以能力为导向的计算机程序设计课程教学改革进行分析研究,提出合理的改革措施。",2018-11-02,刘琴琴;,南通理工学院教科研项目(科研2016027)——“应用型本科学生计算机程序设计能力培养模式的探索”阶段研究成果,2018,,12,101,G642;TP311.1-4,1672-528X,,
期刊,高职院校电气信息类专业《C语言程序设计》课程教学改革探讨,冯振;王玉香;,亳州职业技术学院智能工程系;,课程教育研究,C语言;;教学改革;;网络教学平台;;实验教学,"《C语言程序设计》是电气信息类专业的核心专业基础课程,对学生后续学习如单片机、可编程逻辑控制等课程起到重要的铺垫作用。根据《C语言程序设计》课程的教学现状,依据其教学目的,本文提出从重组教学内容、使用网络教学平台改进教学方法和创新实验实训内容等三方面进行教学改革,以提高学生程序设计能力,分析、解决问题的能力。",2018-10-19,冯振;,"亳州职业技术学院课程建设项目优质课程:C语言程序设计(2017bzyzkc10),亳州职业技术学院课程建设项目精品课程:计算机控制技术(2017bzjpkc10)",2018,,42,242,TP312.1-4;G712.4,2095-3089,,
期刊,新工科建设下软件测试课程教学探索,柯琦;李爱泉;刘胜;雷金东;,广西财经学院计算机系;,电脑知识与技术,软件测试;;教学改革;;新工科人才;;计算机技术;;任务驱动,"该文通过对软件测试课程教学现状的分析,对现阶段软件测试教学过程中出现的问题及不足,探索软件测试教学理论学习与实践有机结合的任务驱动式的教学方法,致力于培养学生富有开拓创新的思想意识和良好的学科素质,具有功底深厚的基础知识和专业技术,能适应前沿科学要求和社会主义市场新经济发展需要的创新型高级计算机科技新工科人才。",2018-10-05,柯琦;,广西教育科学”十三五”规划课题(2017C414),2018,14,28,137-138+153,TP311.53-4;G642,1009-3044,,10.14004/j.cnki.ckt.2018.3300
期刊,基于STEAM教育的无人机编程课程设计,魏元焜;吴丹阳;周兵;,辽宁机电职业技术学院;,电子制作,无人机;;STEAM教育;;Scratch语言,"基于STEAM教育模式,以智能模块化无人机为教学平台,设计了无人机编程课程,旨在以低入门门槛的编程语言培养学生编程能力,建立编程思想。Scratch编程语言简化了编程语法的学习,使学生更专注于程序设计思路本身。手机编程环境保证了学习兴趣和课堂秩序。基于上述设计,以一节课为例给出了教学设计过程。",2018-10-01,魏元焜;,,2018,,19,69-70+68,TP311.1-4;G712;V279-4,1006-5059,,10.16589/j.cnki.cn11-3571/tn.2018.19.025
期刊,提升学生算法设计与编程能力的课程群建设与实践,周燕;曾凡智;李娅;韦庆清;,佛山科学技术学院计算机系;,福建电脑,算法设计;;编程能力;;课程群;;教学改革,"本文对计算机专业算法和程序设计的课程群教学内容和教学方法进行改革,建立了一种层阶式不间断的教学模式,实施4年持续性的程序设计基础、算法设计与应用能力培养,形成科学的算法与程序设计课程群、关联立体化教学内容、系列化实践训练的教学新模式。采用科技竞赛平台、校企合作实训平台、大学创业创新平台的""三结合""机制,提升学生算法与编程能力的实际应用水平。",2018-09-25,周燕;,2016年广东省高等教育教学改革项目“提升学生算法设计与编程能力的计算机专业课程群建设与实践”(粤教高函[2016]236号);; 2108年佛山科学技术学院校级质量工程“重点专业”——计算机科学与技术专业,2018,34,09,87-88,TP311.1-4;G642,1673-2782,,10.16707/j.cnki.fjpc.2018.09.043
期刊,以能力培养为导向的C语言程序设计课程教学改革探索,林宁;左悦;,南宁学院信息工程学院;南宁学院土木与建筑工程学院;,电子世界,能力导向;;C语言;;教学改革;;在线学习系统,"C语言程序设计是计算机专业一门重要的基础课。本文简要分析了C语言程序设计教学的现状和存在的问题,根据学院计算机专业人才培养目标,提出了以能力培养为导向、任务驱动、过程性考核的教学改革模式;同时针对该课程的教学改革开发了C语言在线学习系统,利用系统设置对应于每个子能力的任务模块,学生通过完成任务达到提高编程能力的目的。",2018-09-23,林宁;,2015年度广西高校科学技术研究项目“C语言程序设计题分布式自动评阅系统的研究与实现”(项目编号:KY2015YB525);; 2018年度南宁学院科研项目“程序设计类课程在线学习系统的研究与开发”(项目编号:2018XJ33),2018,,18,63+65,TP312.1-4;G642,1003-0522,,10.19353/j.cnki.dzsj.2018.18.028
期刊,探讨高职C语言程序设计教学改革,白伟丽;,广州城建职业学院;,智库时代,C语言;;教学改革;;高职,"C语言程序设计是目前各大高校理工科类的一门基础课程,对于初学者来说难度较大,高职院校大多学生学习基础薄弱,自控能力也相对较弱。本文阐述了C语言的教学现状及存在的一些问题,并针对高职学生的自身情况制定出相应的对策,以进一步提高他们学习C语言的兴趣和爱好,从而提高C语言课程的教学效果。",2018-08-27,白伟丽;,,2018,,35,231-232,TP312.1-4;G712,2096-4609,,
期刊,基于任务驱动式的VC++教学改革研究,骆岩红;,西北民族大学电气工程学院;,教育教学论坛,Visual C++;;任务驱动;;教学改革,"任务驱动法是利用典型的、学生熟悉的实例任务展开教学内容,不仅提高了学生的学习兴趣,而且把理论的学习融入到实际的问题解决中,极大地调动了学生的主动性和积极性。实践得以证明,本文提出的改革方案在一定程度上增强了课堂教学效果,并为学生编程能力的提高提供了必要的条件。",2018-08-15,骆岩红;,中央高校(31920170011);; 西北民族大学2016年专业综合改革试点项目《物联网工程》项目编号2016XJZYZHGGSD-03的阶段性成果,2018,,33,196-197,G642.0;TP311.1-4,1674-9324,,
